index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,latitude,longitude,geometry
6196,atelier de travail novatek,readaptation center,Nursing and residential care facilities,Province of Québec,,2445,rue léger,H8N2V7,montréal,qc,"2445, rue léger , montréal (québec) h8n 2v7",Montréal,2466023,24,45.4442245,-73.6269932,POINT (-73.6269932 45.4442245)
6197,atelier de travail uni,readaptation center,Nursing and residential care facilities,Province of Québec,,2425,rue dandurand,H2G2A1,montréal,qc,"2425, rue dandurand , montréal (québec) h2g 2a1",Montréal,2466023,24,45.5440068,-73.5835571,POINT (-73.5835571 45.5440068)
6198,atelier des merveilles,readaptation center,Nursing and residential care facilities,Province of Québec,,75,rue de port-royal est,H3L3T1,montréal,qc,"75, rue de port-royal est, bureau 120 , montréal (québec) h3l 3t1",Montréal,2466023,24,45.5476906,-73.6588375,POINT (-73.6588375 45.5476906)
6199,atelier du pont,readaptation center,Nursing and residential care facilities,Province of Québec,,144,rue du pont,G5J2R3,amqui,qc,"144, rue du pont , amqui (québec) g5j 2r3",Amqui,,24,,,
6200,atelier du val-saint-françois (centre de réadaptation en déficience physique),readaptation center,Nursing and residential care facilities,Province of Québec,,79,rue allen,J1S2P8,windsor,qc,"79, rue allen , windsor (québec) j1s 2p8",Windsor,2442088,24,45.57617,-72.005187,POINT (-72.005187 45.57617)
6201,atelier du val-saint-françois (crdi),readaptation center,Nursing and residential care facilities,Province of Québec,,5,rue des sources,J1S2X3,windsor,qc,"5, rue des sources, bureau 104 , windsor (québec) j1s 2x3",Windsor,2442088,24,45.565587,-72.013681,POINT (-72.013681 45.565587)
6202,atelier et centre d'activités de jour d'asbestos (crdi),readaptation center,Nursing and residential care facilities,Province of Québec,,200,rue letendre,J1T1E3,asbestos,qc,"200, rue letendre , asbestos (québec) j1t 1e3",Asbestos,2440043,24,45.777899,-71.966767,POINT (-71.966767 45.777899)
6203,atelier et centre d'activités de jour de cowansville (crdi),readaptation center,Nursing and residential care facilities,Province of Québec,,157,rue des textiles,J2K3P8,cowansville,qc,"157, rue des textiles , cowansville (québec) j2k 3p8",Cowansville,2446080,24,45.202881,-72.7589,POINT (-72.7589 45.202881)
6204,atelier et centre d'activités de jour de farnham (centre de réadaptation pour les personnes présentant une déficience intellectuelle),readaptation center,Nursing and residential care facilities,Province of Québec,,1259,rue george-f-slack,J2N3G4,farnham,qc,"1259, rue george-f.-slack , farnham (québec) j2n 3g4",Farnham,2446112,24,45.292527,-72.960033,POINT (-72.960033 45.292527)
6205,atelier et centre d'activités de jour de la baie,readaptation center,Nursing and residential care facilities,Province of Québec,,3111,rue monseigneur-dufour,G7B4H5,saguenay,qc,"3111, rue monseigneur-dufour , saguenay (québec) g7b 4h5",Saguenay,2494068,24,48.316555,-70.855754,POINT (-70.855754 48.316555)
6206,atelier et centre d'activités de jour du cénacle,readaptation center,Nursing and residential care facilities,Province of Québec,,766,rue du cénacle,G7H2J2,saguenay,qc,"766, rue du cénacle , saguenay (québec) g7h 2j2",Saguenay,2494068,24,48.422763,-71.045141,POINT (-71.045141 48.422763)
6207,atelier et centre d'activités de jour du long-sault,readaptation center,Nursing and residential care facilities,Province of Québec,,2509,rue du long-sault,G7X4J2,saguenay,qc,"2509, rue du long-sault , saguenay (québec) g7x 4j2",Saguenay,2494068,24,48.400234,-71.238034,POINT (-71.238034 48.400234)
6208,atelier et centre d'activités de jour saint-charles beloeil,readaptation center,Nursing and residential care facilities,Province of Québec,,35,rue saint-charles,J3G4L2,beloeil,qc,"35, rue saint-charles , beloeil (québec) j3g 4l2",Beloeil,2457040,24,45.549415,-73.218482,POINT (-73.218482 45.549415)
6209,atelier et centre d'activités de jour sherbrooke - prospect (centre de réadaptation pour les personnes présentant une déficience intellectuelle),readaptation center,Nursing and residential care facilities,Province of Québec,,1621,rue prospect,J1J1K4,sherbrooke,qc,"1621, rue prospect , sherbrooke (québec) j1j 1k4",Sherbrooke,2443027,24,45.41013205,-71.915228,POINT (-71.915228 45.41013205)
6210,atelier et centre d'activités de jour tanguay,readaptation center,Nursing and residential care facilities,Province of Québec,,855,avenue tanguay,G8B5Y2,alma,qc,"855, avenue tanguay , alma (québec) g8b 5y2",Alma,2493042,24,48.56723,-71.641787,POINT (-71.641787 48.56723)
6211,atelier industriel,readaptation center,Nursing and residential care facilities,Province of Québec,,1441-b,boulevard industriel,G8K1W1,saint-félicien,qc,"1441-b, boulevard industriel , saint-félicien (québec) g8k 1w1",Saint-Félicien,2491042,24,48.6403,-72.451147,POINT (-72.451147 48.6403)
6212,atelier l'étincelle (centre de réadaptation en déficience physique),readaptation center,Nursing and residential care facilities,Province of Québec,,200,rue letendre,J1T1E3,asbestos,qc,"200, rue letendre , asbestos (québec) j1t 1e3",Asbestos,2440043,24,45.777899,-71.966767,POINT (-71.966767 45.777899)
6213,atelier le fil d'ariane,readaptation center,Nursing and residential care facilities,Province of Québec,,4837,rue boyer,H2J3E6,montréal,qc,"4837, rue boyer, bureau 100 , montréal (québec) h2j 3e6",Montréal,2466023,24,45.5293588,-73.5860945,POINT (-73.5860945 45.5293588)
6214,atelier le fil d'ariane inc. (centre administratif),readaptation center,Nursing and residential care facilities,Province of Québec,,4837,rue boyer,H2J3E6,montréal,qc,"4837, rue boyer, bureau 100 , montréal (québec) h2j 3e6",Montréal,2466023,24,45.5293588,-73.5860945,POINT (-73.5860945 45.5293588)
6215,atelier maisonneuve de longueuil,readaptation center,Nursing and residential care facilities,Province of Québec,,1219,rue maisonneuve,J4K2S7,longueuil,qc,"1219, rue maisonneuve , longueuil (québec) j4k 2s7",Longueuil,2458227,24,45.509212,-73.476467,POINT (-73.476467 45.509212)
6216,atelier manouane,readaptation center,Nursing and residential care facilities,Province of Québec,,150,rue pinel,G7G3N8,saguenay,qc,"150, rue pinel , saguenay (québec) g7g 3n8",Saguenay,2494068,24,48.450077,-71.076833,POINT (-71.076833 48.450077)
6217,atelier écono-poste (plateau sociocommunautaire de rimouski),readaptation center,Nursing and residential care facilities,Province of Québec,,555,rue de lausanne,G5L4A7,rimouski,qc,"555, rue de lausanne , rimouski (québec) g5l 4a7",Rimouski,2410043,24,48.4349384,-68.55870909,POINT (-68.55870909 48.4349384)
6218,athénée (l'),residential center or residential resource,Nursing and residential care facilities,Province of Québec,,160,rue de carillon,G1K5A2,québec,qc,"160, rue de carillon , québec (québec) g1k 5a2",Québec,2423027,24,46.813506,-71.238705,POINT (-71.238705 46.813506)
6219,auberge communautaire sud-ouest,residential center or residential resource,Nursing and residential care facilities,Province of Québec,,4026,rue wellington,H4G1V3,montréal,qc,"4026, rue wellington , montréal (québec) h4g 1v3",Montréal,2466023,24,45.4634292,-73.568935,POINT (-73.568935 45.4634292)
6220,auberge du coeur et héberge-ados (secteur hull),residential center or residential resource,Nursing and residential care facilities,Province of Québec,,39,rue richard,J8Y4Y6,gatineau,qc,"39, rue richard , gatineau (québec) j8y 4y6",Gatineau,2481017,24,45.4579342,-75.7436654,POINT (-75.7436654 45.4579342)
6221,auberge du coeur le baluchon,residential center or residential resource,Nursing and residential care facilities,Province of Québec,,2290,avenue saint-joseph,J2S5L4,saint-hyacinthe,qc,"2290, avenue saint-joseph, cp 653 , saint-hyacinthe (québec) j2s 5l4",Saint-Hyacinthe,2454048,24,45.629269,-72.95541,POINT (-72.95541 45.629269)
6222,auberge madeleine,residential center or residential resource,Nursing and residential care facilities,Province of Québec,,,,,,qc,,,,24,,,
6223,auberge shalom pour femmes,residential center or residential resource,Nursing and residential care facilities,Province of Québec,,,,,,qc,,,,24,,,
6224,auberge transition,residential center or residential resource,Nursing and residential care facilities,Province of Québec,,,,,,qc,,,,24,,,
6225,autisme chat botté (sainte-dorothée),residential center or residential resource,Nursing and residential care facilities,Province of Québec,,573,rang saint-antoine,H7R6E8,laval,qc,"573, rang saint-antoine, porte a , laval (québec) h7r 6e8",Laval,2465005,24,45.547919,-73.835073,POINT (-73.835073 45.547919)
6226,autre chez soi inc. (l') (secteur aylmer),residential center or residential resource,Nursing and residential care facilities,Province of Québec,,,,,,qc,,,,24,,,
6227,avenue hébergement communautaire (l'),residential center or residential resource,Nursing and residential care facilities,Province of Québec,,2587,rue leclaire,H1V3A8,montréal,qc,"2587, rue leclaire , montréal (québec) h1v 3a8",Montréal,2466023,24,45.559977,-73.5472557,POINT (-73.5472557 45.559977)
6228,barrie memorial hospital,general,Hospitals,Public Health Agency of Canada,,28,gale st,J0S1K0,ormstown,qc,28 gale st. ormstown qc j0s 1k0,Ormstown,2469037,24,45.1263,-73.999821,POINT (-73.999821 45.1263)
6229,bishop's-champlain student health services,clinic or family medicine group,Ambulatory health care services,Province of Québec,,2600,rue college,,,qc,"2600, rue college, bureau 2091, édifice john h. price - sports & recreation centre , sherbrooke (québec) j1m 1z7",,,24,,,
6230,bureau de docteure hélène chouinard,clinic or family medicine group,Ambulatory health care services,Province of Québec,,460,rue sainte-hélène,J4K3R2,longueuil,qc,"460, rue sainte-hélène , longueuil (québec) j4k 3r2",Longueuil,2458227,24,45.521888,-73.512093,POINT (-73.512093 45.521888)
6231,bureau de dr philippe esterez,clinic or family medicine group,Ambulatory health care services,Province of Québec,,1140,avenue beaumont,H3P3E5,montréal,qc,"1140, avenue beaumont , bureau 110 , montréal (québec) h3p 3e5",Mont-Royal,2466072,24,45.5220054,-73.6250819,POINT (-73.6250819 45.5220054)
6232,"bureau de jean-pierre downs, médecin",clinic or family medicine group,Ambulatory health care services,Province of Québec,,22,rue saint-michel,J7V1E8,vaudreuil-dorion,qc,"22, rue saint-michel , vaudreuil-dorion (québec) j7v 1e8",Vaudreuil-Dorion,2471083,24,45.400037,-74.024808,POINT (-74.024808 45.400037)
6233,bureau docteur andré forget,clinic or family medicine group,Ambulatory health care services,Province of Québec,,210,boulevard sainte-rose est,H7H1P3,laval,qc,"210, boulevard sainte-rose est , laval (québec) h7h 1p3",Laval,2465005,24,45.629624,-73.755803,POINT (-73.755803 45.629624)
6234,bureau docteur patrick blouin,clinic or family medicine group,Ambulatory health care services,Province of Québec,,11000,boulevard de l'ormière,G2B5S1,québec,qc,"11000, boulevard de l'ormière, bureau 250 , québec (québec) g2b 5s1",Québec,2423027,24,46.845086,-71.368149,POINT (-71.368149 46.845086)
6235,bureau docteur tri cong nguyen,clinic or family medicine group,Ambulatory health care services,Province of Québec,,93,boulevard clermont,H7N2Z5,laval,qc,"93, boulevard clermont , laval (québec) h7n 2z5",Laval,2465005,24,45.546983,-73.716881,POINT (-73.716881 45.546983)
6236,bureau dre l.trudel,clinic or family medicine group,Ambulatory health care services,Province of Québec,,471,rue du danube,J3H5G8,mont-saint-hilaire,qc,"471, rue du danube , mont-saint-hilaire (québec) j3h 5g8",Mont-Saint-Hilaire,2457035,24,45.572499,-73.184625,POINT (-73.184625 45.572499)
6237,bureau dre shirley gavlas,clinic or family medicine group,Ambulatory health care services,Province of Québec,,88,5e avenue,J7W5K7,pincourt,qc,"88, 5e avenue , pincourt (québec) j7w 5k7",Pincourt,2471070,24,45.381381,-73.992688,POINT (-73.992688 45.381381)
6238,bureau du docteur claude leblanc,clinic or family medicine group,Ambulatory health care services,Province of Québec,,1688,boulevard des laurentides vimont,H7M2P4,laval,qc,"1688, boulevard des laurentides (vimont), bureau 105 , laval (québec) h7m 2p4",Laval,2465005,24,45.596247,-73.721861,POINT (-73.721861 45.596247)
6239,bureau du docteur clifford sarrazin-sullivan,clinic or family medicine group,Ambulatory health care services,Province of Québec,,168,avenue saint-charles,J7V2L1,vaudreuil-dorion,qc,"168, avenue saint-charles , vaudreuil-dorion (québec) j7v 2l1",Vaudreuil-Dorion,2471083,24,45.387768,-74.01377,POINT (-74.01377 45.387768)
6240,bureau du docteur ginette ménard,clinic or family medicine group,Ambulatory health care services,Province of Québec,,1144,rue saint-laurent ouest,J4K1E2,longueuil,qc,"1144, rue saint-laurent ouest, bureau 215 , longueuil (québec) j4k 1e2",Longueuil,2458227,24,45.522582,-73.512752,POINT (-73.512752 45.522582)
6241,bureau du docteur guy brisson,clinic or family medicine group,Ambulatory health care services,Province of Québec,,1600,boulevard curé-labelle chomedey,H7V2W2,laval,qc,"1600, boulevard curé-labelle (chomedey), bureau 303 , laval (québec) h7v 2w2",Laval,2465005,24,45.550419,-73.758947,POINT (-73.758947 45.550419)
6242,bureau du docteur jean-luc ouradou,clinic or family medicine group,Ambulatory health care services,Province of Québec,,380,rue monseigneur-desmarais,J0H2E0,upton,qc,"380, rue monseigneur-desmarais , upton (québec) j0h 2e0",Upton,2448038,24,45.65148373,-72.69173615,POINT (-72.69173615 45.65148373)
6243,bureau du docteur jean-marc noiseux,clinic or family medicine group,Ambulatory health care services,Province of Québec,,2200,chemin de chambly,J4J3Z3,longueuil,qc,"2200, chemin de chambly, bureau 201 , longueuil (québec) j4j 3z3",Longueuil,2458227,24,45.526703,-73.475767,POINT (-73.475767 45.526703)
6244,bureau du docteur jean-pierre gouin,clinic or family medicine group,Ambulatory health care services,Province of Québec,,1144,rue saint-laurent ouest,J4K1E2,longueuil,qc,"1144, rue saint-laurent ouest, bureau 215 , longueuil (québec) j4k 1e2",Longueuil,2458227,24,45.522597,-73.512763,POINT (-73.512763 45.522597)
6245,bureau du docteur jean-serge lalonde,clinic or family medicine group,Ambulatory health care services,Province of Québec,,455,montée paiement,J8P0B1,gatineau,qc,"455, montée paiement, suite 170 , gatineau (québec) j8p 0b1",Gatineau,2481017,24,45.493342,-75.677158,POINT (-75.677158 45.493342)
6246,bureau du docteur leslie newman,clinic or family medicine group,Ambulatory health care services,Province of Québec,,4415,boulevard notre-dame,H7W1T7,laval,qc,"4415, boulevard notre-dame, bureau 211 , laval (québec) h7w 1t7",Laval,2465005,24,45.53769,-73.759879,POINT (-73.759879 45.53769)
6247,bureau du docteur marcel denicourt,clinic or family medicine group,Ambulatory health care services,Province of Québec,,621,chemin ozias-leduc,J3H2M7,otterburn park,qc,"621, chemin ozias-leduc, bureau 102 , otterburn park (québec) j3h 2m7",Otterburn Park,2457030,24,45.539757,-73.189786,POINT (-73.189786 45.539757)
6248,bureau du docteur nick karellis,clinic or family medicine group,Ambulatory health care services,Province of Québec,,3828,boulevard notre-dame,H7V1R9,laval,qc,"3828, boulevard notre-dame , laval (québec) h7v 1r9",Laval,2465005,24,45.541382,-73.74647,POINT (-73.74647 45.541382)
6249,bureau du docteur serge savard,clinic or family medicine group,Ambulatory health care services,Province of Québec,,550,boulevard de mortagne,J4B5E4,boucherville,qc,"550, boulevard de mortagne, bureau 200 , boucherville (québec) j4b 5e4",Boucherville,2458033,24,45.59216,-73.434364,POINT (-73.434364 45.59216)
6250,bureau du docteur stephen greenberg,clinic or family medicine group,Ambulatory health care services,Province of Québec,,800,boulevard rené-lévesque ouest,H3B1X9,montréal,qc,"800, boulevard rené-lévesque ouest, bureau 1540 , montréal (québec) h3b 1x9",Montréal,2466023,24,45.5010887,-73.5697266,POINT (-73.5697266 45.5010887)
6251,bureau du docteur sylvain le dû (centre de santé ferme neuve),clinic or family medicine group,Ambulatory health care services,Province of Québec,,70,12e rue,J0W1C0,ferme-neuve,qc,"70, 12e rue, bureau 4 , ferme-neuve (québec) j0w 1c0",Saint-Jérôme,2475017,24,45.766022,-74.000191,POINT (-74.000191 45.766022)
6252,bureau du docteur william wai lim lau,clinic or family medicine group,Ambulatory health care services,Province of Québec,,4415,boulevard notre-dame,H7W1T7,laval,qc,"4415, boulevard notre-dame, bureau 100 , laval (québec) h7w 1t7",Laval,2465005,24,45.53769,-73.759879,POINT (-73.759879 45.53769)
6253,bureau du docteur yvon prévost,clinic or family medicine group,Ambulatory health care services,Province of Québec,,1144,rue saint-laurent ouest,J4K1E2,longueuil,qc,"1144, rue saint-laurent ouest, bureau 215 , longueuil (québec) j4k 1e2",Longueuil,2458227,24,45.522605,-73.512806,POINT (-73.512806 45.522605)
6254,bureau du docteure andrée-anne guay,clinic or family medicine group,Ambulatory health care services,Province of Québec,,1245,rue plamondon,J0L1T0,saint-césaire,qc,"1245, rue plamondon , saint-césaire (québec) j0l 1t0",Saint-Césaire,2455023,24,45.41086083,-73.00349219,POINT (-73.00349219 45.41086083)
6255,bureau du docteure johanne a. béliveau,clinic or family medicine group,Ambulatory health care services,Province of Québec,,2944,boulevard taschereau,J4V2G8,longueuil,qc,"2944, boulevard taschereau, bureau 230 , longueuil (québec) j4v 2g8",Longueuil,2458227,24,45.499566,-73.487322,POINT (-73.487322 45.499566)
6256,bureau du docteure louise quintal,clinic or family medicine group,Ambulatory health care services,Province of Québec,,544,avenue notre-dame,J4P2K7,saint-lambert,qc,"544, avenue notre-dame, bureau 4 , saint-lambert (québec) j4p 2k7",Saint-Lambert,2458012,24,45.501787,-73.509509,POINT (-73.509509 45.501787)
6257,bureau du dr pierre st-jean,clinic or family medicine group,Ambulatory health care services,Province of Québec,,7500,boulevard des galeries-danjou,H1M3M4,montréal,qc,"7500, boulevard des galeries-d'anjou, bureau 45 , montréal (québec) h1m 3m4",Montréal,2466023,24,45.5975484,-73.5701097,POINT (-73.5701097 45.5975484)
6258,bureau médical docteur jacques bender,clinic or family medicine group,Ambulatory health care services,Province of Québec,,19,rue du cinquantenaire,J0H1S0,sainte-madeleine,qc,"19, rue du cinquantenaire , sainte-madeleine (québec) j0h 1s0",Sainte-Madeleine,2454025,24,45.5925034,-73.0920985,POINT (-73.0920985 45.5925034)
6259,"bureau médical docteurs boulay, danielle, omnipraticienne et docteur cournoyer, serge, néphrologue",clinic or family medicine group,Ambulatory health care services,Province of Québec,,300,rue paradis,J3P3G6,sorel-tracy,qc,"300, rue paradis , sorel-tracy (québec) j3p 3g6",Sorel-Tracy,2453052,24,46.041466,-73.092927,POINT (-73.092927 46.041466)
6260,bureau médical du dre harvey,clinic or family medicine group,Ambulatory health care services,Province of Québec,,453,route 132,G0C2N0,port-daniel gascons,qc,"453, route 132 , port-daniel--gascons (québec) g0c 2n0",,,24,,,
6261,bureau médical rachel est,clinic or family medicine group,Ambulatory health care services,Province of Québec,,835,avenue duluth est,H2L1B2,montréal,qc,"835, avenue duluth est , montréal (québec) h2l 1b2",Montréal,2466023,24,45.5229444,-73.5743092,POINT (-73.5743092 45.5229444)
6262,bureau photios giannakis,clinic or family medicine group,Ambulatory health care services,Province of Québec,,4379,boulevard saint-martin ouest,H7T1C5,laval,qc,"4379, boulevard saint-martin ouest , laval (québec) h7t 1c5",Laval,2465005,24,45.548957,-73.769122,POINT (-73.769122 45.548957)
6263,cabinet des docteures anne-marie gravel et barbara april black,clinic or family medicine group,Ambulatory health care services,Province of Québec,,5025,rue sherbrooke ouest,H4A1S9,westmount,qc,"5025, rue sherbrooke ouest, bureau 225 , westmount (québec) h4a 1s9",Montréal,2466023,24,45.477135,-73.696113,POINT (-73.696113 45.477135)
6264,cabinet des docteures johansson et johansson,clinic or family medicine group,Ambulatory health care services,Province of Québec,,5025,rue sherbrooke ouest,H4A1S9,westmount,qc,"5025, rue sherbrooke ouest, bureau 640 , westmount (québec) h4a 1s9",Westmount,2466032,24,45.47711,-73.606153,POINT (-73.606153 45.47711)
6265,cabinet des docteurs abikhzer et dashkovsky,clinic or family medicine group,Ambulatory health care services,Province of Québec,,5950,chemin de la côte-des-neiges,H3S1Z6,montréal,qc,"5950, chemin de la côte-des-neiges, bureau 350 , montréal (québec) h3s 1z6",Montréal,2466023,24,45.500049,-73.630559,POINT (-73.630559 45.500049)
6266,cabinet des docteurs armand elbaz et rita frydman,clinic or family medicine group,Ambulatory health care services,Province of Québec,,6000,chemin de la côte-des-neiges,H3S1Z8,montréal,qc,"6000, chemin de la côte-des-neiges, bureau 145 , montréal (québec) h3s 1z8",Montréal,2466023,24,45.500244,-73.631547,POINT (-73.631547 45.500244)
6267,"cabinet des docteurs eiley, el-hakim et jacobson",clinic or family medicine group,Ambulatory health care services,Province of Québec,,175,avenue stillview,H9R4S3,pointe-claire,qc,"175, avenue stillview, bureau 200 , pointe-claire (québec) h9r 4s3",Pointe-Claire,2466097,24,45.450508,-73.832545,POINT (-73.832545 45.450508)
6268,cabinet des docteurs lipes et trister,clinic or family medicine group,Ambulatory health care services,Province of Québec,,5858,chemin de la côte-des-neiges,H3S1Z1,montréal,qc,"5858, chemin de la côte-des-neiges, bureau 204 , montréal (québec) h3s 1z1",Montréal,2466023,24,45.49959,-73.630045,POINT (-73.630045 45.49959)
6269,cabinet des docteurs nattel et wasser,clinic or family medicine group,Ambulatory health care services,Province of Québec,,5025,rue sherbrooke ouest,H4A1S9,montréal,qc,"5025, rue sherbrooke ouest, bureau 415 , montréal (québec) h4a 1s9",Westmount,2466032,24,45.477095,-73.606131,POINT (-73.606131 45.477095)
6270,"cabinet des docteurs savard, paquette et dophin",clinic or family medicine group,Ambulatory health care services,Province of Québec,,55,rue de l'église,H4G3E7,montréal,qc,"55, rue de l'église, bureau 23 , montréal (québec) h4g 3e7",Montréal,2466023,24,45.462769,-73.562132,POINT (-73.562132 45.462769)
6271,cabinet docteur domenico ciricillo,clinic or family medicine group,Ambulatory health care services,Province of Québec,,5953,rue bélanger,H1T1G8,montréal,qc,"5953, rue bélanger , montréal (québec) h1t 1g8",Montréal,2466023,24,45.583201,-73.572254,POINT (-73.572254 45.583201)
6272,cabinet docteure vi thuy kieu,clinic or family medicine group,Ambulatory health care services,Province of Québec,,4321,avenue van horne,H3S1S2,montréal,qc,"4321, avenue van horne , montréal (québec) h3s 1s2",Montréal,2466023,24,45.496973,-73.635657,POINT (-73.635657 45.496973)
6273,cabinet dr robert kaud,clinic or family medicine group,Ambulatory health care services,Province of Québec,,2520,place keller,H4K2T2,montréal,qc,"2520, place keller , montréal (québec) h4k 2t2",Montréal,2466023,24,45.519183,-73.723411,POINT (-73.723411 45.519183)
6274,cabinet dr tommy aumond-beaupré,clinic or family medicine group,Ambulatory health care services,Province of Québec,,6915,rue saint-denis,H2S2S3,montréal,qc,"6915, rue saint-denis, bureau 102 , montréal (québec) h2s 2s3",Montréal,2466023,24,45.537117,-73.611243,POINT (-73.611243 45.537117)
6275,cabinet dre nada khoder,clinic or family medicine group,Ambulatory health care services,Province of Québec,,901,boul des seigneurs,J6W1T8,terrebonne,qc,"901, boul. des seigneurs, terrebonne (québec) j6w 1t8",Terrebonne,2464008,24,45.702329,-73.640276,POINT (-73.640276 45.702329)
6276,cabinet du docteur alfred w. illescas,clinic or family medicine group,Ambulatory health care services,Province of Québec,,227,boulevard saint-joseph est,H2T1H9,montréal,qc,"227, boulevard saint-joseph est, bureau 1 , montréal (québec) h2t 1h9",Montréal,2466023,24,45.524871,-73.589416,POINT (-73.589416 45.524871)
6277,cabinet du docteur anthony czaharyn,clinic or family medicine group,Ambulatory health care services,Province of Québec,,17000,boulevard hymus,H9J2W2,kirkland,qc,"17000, boulevard hymus, suite 100-a , kirkland (québec) h9j 2w2",Kirkland,2466102,24,45.448976,-73.856392,POINT (-73.856392 45.448976)
6278,cabinet du docteur asmae boutaleb,clinic or family medicine group,Ambulatory health care services,Province of Québec,,5855,boulevard gouin ouest,H4J1E5,montréal,qc,"5855, boulevard gouin ouest, bureau 202 , montréal (québec) h4j 1e5",Montréal,2466023,24,45.532077,-73.721165,POINT (-73.721165 45.532077)
6279,cabinet du docteur barry goldsman,clinic or family medicine group,Ambulatory health care services,Province of Québec,,5100,boulevard de maisonneuve ouest,H4A3T2,montréal,qc,"5100, boulevard de maisonneuve ouest, bureau 710, suite 710 , montréal (québec) h4a 3t2",Montréal,2466023,24,45.474977,-73.60308,POINT (-73.60308 45.474977)
6280,cabinet du docteur benjamin klein,clinic or family medicine group,Ambulatory health care services,Province of Québec,,1200,avenue mcgill college,H3B4G7,montréal,qc,"1200, avenue mcgill college, bureau 1100 , montréal (québec) h3b 4g7",Montréal,2466023,24,45.501621,-73.570642,POINT (-73.570642 45.501621)
6281,cabinet du docteur dimitrios lambrinos,clinic or family medicine group,Ambulatory health care services,Province of Québec,,915,rue jean-talon ouest,H3N1S7,montréal,qc,"915, rue jean-talon ouest, bureau 107 , montréal (québec) h3n 1s7",Montréal,2466023,24,45.525336,-73.62521,POINT (-73.62521 45.525336)
6282,cabinet du docteur gilles brouillette,clinic or family medicine group,Ambulatory health care services,Province of Québec,,1500,avenue dollard,H8N1T5,montréal,qc,"1500, avenue dollard, bureau 308 , montréal (québec) h8n 1t5",Montréal,2466023,24,45.427085,-73.62815,POINT (-73.62815 45.427085)
6283,cabinet du docteur howard stanley cohen,clinic or family medicine group,Ambulatory health care services,Province of Québec,,12,rue canvin,H9H4S4,kirkland,qc,"12, rue canvin , kirkland (québec) h9h 4s4",Kirkland,2466102,24,45.449515,-73.836626,POINT (-73.836626 45.449515)
6284,cabinet du docteur jean mantha,clinic or family medicine group,Ambulatory health care services,Province of Québec,,2635,boulevard rosemont,H1Y1L1,montréal,qc,"2635, boulevard rosemont , montréal (québec) h1y 1l1",Montréal,2466023,24,45.54861,-73.585018,POINT (-73.585018 45.54861)
6285,cabinet du docteur jirair kuyumjian,clinic or family medicine group,Ambulatory health care services,Province of Québec,,5855,boulevard gouin ouest,H4J1E5,montréal,qc,"5855, boulevard gouin ouest, bureau 207 , montréal (québec) h4j 1e5",Montréal,2466023,24,45.532247,-73.721185,POINT (-73.721185 45.532247)
6286,cabinet du docteur john h. backler,clinic or family medicine group,Ambulatory health care services,Province of Québec,,4999,rue sainte-catherine ouest,H3Z1T3,westmount,qc,"4999, rue sainte-catherine ouest, bureau 100 , westmount (québec) h3z 1t3",Westmount,2466032,24,45.475802,-73.601326,POINT (-73.601326 45.475802)
6287,cabinet du docteur léo lasalle,clinic or family medicine group,Ambulatory health care services,Province of Québec,,55,rue de l'église,H4G3E7,montréal,qc,"55, rue de l'église, bureau 42 , montréal (québec) h4g 3e7",Montréal,2466023,24,45.462983,-73.564495,POINT (-73.564495 45.462983)
6288,cabinet du docteur michel bérubé,clinic or family medicine group,Ambulatory health care services,Province of Québec,,539,chemin principal les îles-de-la-madeleine,G4T1E7,québec,qc,"539, chemin principal , les îles-de-la-madeleine (québec) g4t 1e7",,,24,,,
6289,cabinet du docteur éric lillie,clinic or family medicine group,Ambulatory health care services,Province of Québec,,72,rue sainte-anne,H9X1L8,sainte-anne-de-bellevue,qc,"72, rue sainte-anne, bureau d , sainte-anne-de-bellevue (québec) h9x 1l8",Sainte-Anne-de-Bellevue,2466117,24,45.403174,-73.950569,POINT (-73.950569 45.403174)
6290,cabinet médical au coeur des vergers,clinic or family medicine group,Ambulatory health care services,Province of Québec,,621,chemin ozias-leduc,J3H2M7,otterburn park,qc,"621, chemin ozias-leduc, bureau 101 , otterburn park (québec) j3h 2m7",Otterburn Park,2457030,24,45.539756,-73.18982,POINT (-73.18982 45.539756)
6291,cabinet médical legault,clinic or family medicine group,Ambulatory health care services,Province of Québec,,310,route de sainte-béatrix,J0K1W0,saint-alphonse-rodriguez,qc,"310, route de sainte-béatrix , saint-alphonse-rodriguez (québec) j0k 1w0",Saint-Alphonse-Rodriguez,2462025,24,46.1833265,-73.6806086,POINT (-73.6806086 46.1833265)
6292,caj centre d'animation,readaptation center,Nursing and residential care facilities,Province of Québec,,2101,avenue jeanne-darc,H1W3V6,montréal,qc,"2101, avenue jeanne-d'arc , montréal (québec) h1w 3v6",Montréal,2466023,24,45.5503557,-73.5460974,POINT (-73.5460974 45.5503557)
6293,campus saint-laurent - pavillon webster (le),residential center or residential resource,Nursing and residential care facilities,Province of Québec,,915,rue clark,H2Z1J8,montréal,qc,"915, rue clark , montréal (québec) h2z 1j8",Montréal,2466023,24,45.5068096,-73.5602702,POINT (-73.5602702 45.5068096)
